DSM,41.534134,-93.6588,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
DTW,42.21617,-83.355385,US,America/Detroit,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
DUB,53.42645,-6.24991,IE,Europe/Dublin,0,1,2022-03-27 01:00:00,2022-10-30 01:00:00
GIG,-22.805265,-43.25663,BR,America/Sao_Paulo,-10800,0,No DST
GLA,55.869076,-4.435053,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
GOT,57.6688,12.292314,SE,Europe/Stockholm,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
GRU,-23.430573,-46.47304,BR,America/Sao_Paulo,-10800,0,No DST
BLL,55.740807,9.1526,DK,Europe/Copenhagen,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
BLQ,44.534523,11.287859,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
BNE,-27.394215,153.12183,AU,Australia/Brisbane,36000,0,No DST
BOD,44.830593,-0.7103052,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
BOG,4.7014127,-74.14449,CO,America/Bogota,-18000,0,No DST
BRE,53.04797,8.785873,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
BSL,47.59818,7.525496,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
BTH,1.1219254,104.11829,ID,Asia/Jakarta,25200,0,No DST
BTU,3.1238103,113.02402,MY,Asia/Kuching,28800,0,No DST
BUD,47.438457,19.252296,HU,Europe/Budapest,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
CAN,23.395908,113.30797,CN,Asia/Shanghai,28800,0,No DST
CBR,-35.305233,149.19339,AU,Australia/Sydney,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
CDG,49.00969,2.5479245,FR,Europe/Paris,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
CEB,10.310656,123.980225,PH,Asia/Manila,28800,0,No DST
CFS,-30.322926,153.11583,AU,Australia/Sydney,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
CGK,-6.127528,106.65371,ID,Asia/Jakarta,25200,0,No DST
CGO,34.52534,113.84615,CN,Asia/Shanghai,28800,0,No DST
CHC,-43.486397,172.53687,NZ,Pacific/Auckland,46800,1,2022-04-02 14:00:00,2022-09-24 14:00:00
CHO,38.13949,-78.451614,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
CLT,35.2144,-80.94731,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
CSX,28.196667,113.22083,CN,Asia/Shanghai,28800,0,No DST
DPS,-8.746717,115.16679,ID,Asia/Makassar,28800,0,No DST
DUS,51.287613,6.7667913,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
DVO,7.128764,125.64608,PH,Asia/Manila,28800,0,No DST
DXB,25.253174,55.365673,AE,Asia/Dubai,14400,0,No DST
EDI,55.950787,-3.3614533,GB,Europe/London,0,0,2022-03-27 01:00:00,2022-10-30 01:00:00
ELP,31.805336,-106.38243,US,America/Denver,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
EWR,40.689533,-74.17446,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
FAY,34.99258,-78.88467,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
FCO,41.79989,12.246239,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
FLL,26.074234,-80.150604,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
FLR,43.808655,11.201224,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
FOC,25.930637,119.6702,CN,Asia/Shanghai,28800,0,No DST
FRA,50.037933,8.562152,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
FUK,33.590313,130.44672,JP,Asia/Tokyo,32400,0,No DST
GDL,20.525955,-103.307625,MX,America/Mexico_City,-21600,0,2022-04-03 08:00:00,2022-10-30 07:00:00
GDN,54.37884,18.468075,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
GFK,47.94286,-97.17658,US,America/Chicago,-18000,1,2022-03-13 08:00:00,2022-11-06 07:00:00
GSO,36.104366,-79.93518,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
GUA,14.584098,-90.52769,GT,America/Guatemala,-21600,0,No DST
GUM,13.485297,144.80081,GU,Pacific/Guam,36000,0,No DST
GVA,46.23701,6.1091566,CH,Europe/Zurich,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
HAJ,52.46185,9.688992,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
HAM,53.63362,9.997413,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
HAN,21.218716,105.80417,TH,Asia/Bangkok,25200,0,No DST
HDN,40.481403,-107.21661,US,America/Denver,-21600,1,2022-03-13 09:00:00,2022-11-06 08:00:00
HEL,60.32104,24.95286,FI,Europe/Helsinki,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
HER,35.33958,25.174747,GR,Europe/Athens,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
HFE,31.9869,116.96921,CN,Asia/Shanghai,28800,0,No DST
HKG,22.308046,113.91848,HK,Asia/Hong_Kong,28800,0,No DST
HKT,8.111095,98.306465,TH,Asia/Bangkok,25200,0,No DST
HND,35.549393,139.77985,JP,Asia/Tokyo,32400,0,No DST
